"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
memgroupcontractoptplanyear,memGroupID,mmGrpCntrctptPlnYr_mmGrpCntrctpt1,memgroupcontractopt,memGroupID
memgroupcontractoptplnrelation,memGroupContractOptID,mmGrpCntrctptPlnRltn_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptpop,memGroupContractID,mmGrpCntrctptPp_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractID
memgroupcontractoptpop,memGroupContractOptID,mmGrpCntrctptPp_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptpop,memGroupID,mmGrpCntrctptPp_mmGrpCntrctpt1,memgroupcontractopt,memGroupID
memgroupcontractoptpop,memGroupPopulationID,mmGrpCntrctptPp_mmGrpPpltn1,memgrouppopulation,memGroupPopulationID
memgroupcontractoptpopinsrule,memGroupContractID,mmGrpCntrctptPpnsRl_mmGrpCntrctptPp1,memgroupcontractoptpop,memGroupContractID
memgroupcontractoptpopinsrule,memGroupContractOptID,mmGrpCntrctptPpnsRl_mmGrpCntrctptPp1,memgroupcontractoptpop,memGroupContractOptID
memgroupcontractoptpopinsrule,memGroupContractOptPopID,mmGrpCntrctptPpnsRl_mmGrpCntrctptPp1,memgroupcontractoptpop,memGroupContractOptPopID
memgroupcontractoptpopinsrule,memGroupID,mmGrpCntrctptPpnsRl_mmGrpCntrctptPp1,memgroupcontractoptpop,memGroupID
memgroupcontractoptsettings,memGroupContractOptID,mmGrpCntrctptSttngs_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractoptsuprbloptin,memGroupContractOptID,mmGrpCntrctptSprBlptn_mmGrpCntrctpt1,memgroupcontractopt,memGroupContractOptID
memgroupcontractplanbillrt,memGroupContractID,mmGrpCntrctPlnBllRt_mmGrpCntrctPlnptn1,memgroupcontractplanoption,memGroupContractID
